"Team","Expected_Wins","E95_Wins","E05_Wins","Current_Wins","Current_Losses","Wins_Needed"
"New York Yankees",105.8,115.5,95.1,39,25,67
"New York Mets",102.9,114.2,91.5,42,24,61
"Detroit Tigers",102.4,115.3,88.5,43,24,60
"San Diego Padres",100.3,115,83,37,27,64
"Los Angeles Dodgers",99.3,112.3,85.9,39,27,61
"Chicago Cubs",98.7,118.4,79.7,40,25,59
"San Francisco Giants",97.8,105.1,90.2,38,28,60
"Philadelphia Phillies",92.8,106.8,79.1,37,28,56
"St. Louis Cardinals",90.7,105.5,76.3,36,29,55
"Cincinnati Reds",88.1,97.2,78.8,34,33,55
"Tampa Bay Rays",87.8,99.8,76.2,35,30,53
"Houston Astros",85.7,99.6,72.5,36,29,50
"Boston Red Sox",82,91.9,72,32,35,50
"Arizona Diamondbacks",81.7,89.9,72.3,31,35,51
"Seattle Mariners",81.2,97.5,63.5,33,31,49
"Minnesota Twins",80.2,103.7,60.4,36,30,45
"Kansas City Royals",79.2,89.5,70.3,34,32,46
"Cleveland Guardians",78.8,90.3,67.4,34,31,45
"Toronto Blue Jays",78.1,93.6,61,35,30,44
"Milwaukee Brewers",78,102.6,58.4,35,31,43
"Texas Rangers",74.2,83.4,65.1,31,35,44
"Atlanta Braves",71,86.6,53.8,27,37,44
"Washington Nationals",68.3,78.1,58.7,30,35,39
"Baltimore Orioles",66.9,90.7,44.1,26,38,41
"Los Angeles Angels",66.7,85.3,50.8,30,34,37
"Chicago White Sox",64.6,90.4,43,22,44,43
"Athletics",63.6,79.4,48.7,26,41,38
"Miami Marlins",61.9,71.2,53.7,24,39,38
"Pittsburgh Pirates",60.7,67.6,54.2,26,40,35
"Colorado Rockies",35,42.8,28.4,12,53,23
