Year,Team,AB,H,2B,3B,HR,BB,SO,BAVG,SLG,AB_away,H_away,2B_away,3B_away,HR_away,BB_away,SO_away,BAVG_away,SLG_away,Year_away,Team_away
1995,COL,5198,1637,305,59,241,509,880,0.315,0.535,4847,1212,231,20,119,487,954,0.25,0.38,1995,COL
1996,COL,5879,1900,357,51,271,612,961,0.323,0.54,5318,1304,247,34,148,539,1079,0.245,0.388,1996,COL
1997,COL,5822,1844,336,45,245,551,900,0.317,0.516,5453,1464,275,36,190,577,1030,0.268,0.437,1997,COL
1998,COL,5800,1814,331,48,212,539,894,0.313,0.496,5389,1409,297,31,145,492,1006,0.261,0.409,1998,COL
1999,COL,5946,1942,355,52,303,654,904,0.327,0.557,5430,1402,276,28,157,591,991,0.258,0.406,1999,COL
2000,COL,5849,1860,359,56,245,633,933,0.318,0.524,5396,1372,280,35,137,556,975,0.254,0.395,2000,COL
2001,COL,5757,1782,372,57,268,575,1006,0.31,0.534,5488,1403,303,39,184,534,1079,0.256,0.426,2001,COL
2002,COL,5671,1690,326,52,232,549,945,0.298,0.497,5448,1372,263,28,145,530,1018,0.252,0.39,2002,COL
2003,COL,5682,1656,346,54,230,576,963,0.291,0.493,5467,1445,309,21,168,595,1037,0.264,0.421,2003,COL
2004,COL,5744,1752,379,48,221,685,1013,0.305,0.503,5471,1413,288,29,179,580,1115,0.258,0.42,2004,COL
2005,COL,5744,1707,339,39,170,567,1001,0.297,0.459,5383,1370,298,27,155,546,1083,0.255,0.406,2005,COL
2006,COL,5662,1627,329,60,168,575,981,0.287,0.456,5514,1426,327,49,144,539,1079,0.259,0.414,2006,COL
2007,COL,5750,1641,342,49,185,550,994,0.285,0.458,5567,1447,269,32,150,576,1125,0.26,0.401,2007,COL
2008,COL,5656,1575,330,43,174,542,1075,0.278,0.444,5522,1434,315,31,134,590,1175,0.26,0.401,2008,COL
2009,COL,5514,1521,319,62,172,614,1134,0.276,0.45,5358,1314,252,35,159,574,1297,0.245,0.394,2009,COL
2010,COL,5604,1571,314,52,187,531,1221,0.28,0.455,5390,1286,245,31,125,579,1287,0.239,0.365,2010,COL
2011,COL,5666,1571,313,49,195,545,1096,0.277,0.453,5438,1329,253,43,144,532,1223,0.244,0.386,2011,COL
2012,COL,5804,1773,345,67,218,528,1120,0.305,0.501,5424,1390,282,34,146,488,1237,0.256,0.402,2012,COL
2013,COL,5745,1643,333,43,159,470,1053,0.286,0.442,5445,1413,298,25,136,474,1215,0.26,0.398,2013,COL
2014,COL,5774,1749,344,55,209,475,1071,0.303,0.49,5384,1330,283,29,150,453,1284,0.247,0.394,2014,COL
2015,COL,5735,1729,352,60,202,497,1132,0.301,0.489,5426,1329,285,30,167,470,1263,0.245,0.401,2015,COL
2016,COL,5741,1697,368,57,215,540,1230,0.296,0.492,5465,1379,262,41,170,501,1323,0.252,0.409,2016,COL
2017,COL,5555,1586,315,61,208,547,1262,0.286,0.477,5485,1377,268,27,174,504,1416,0.251,0.405,2017,COL
2018,COL,5567,1535,325,60,220,514,1368,0.276,0.474,5482,1260,223,30,174,518,1438,0.23,0.377,2018,COL
2019,COL,5845,1740,368,58,276,563,1320,0.298,0.522,5512,1338,280,27,218,515,1447,0.243,0.422,2019,COL
2020,COL,2140,623,106,25,78,155,449,0.291,0.473,1984,484,97,10,68,211,487,0.244,0.406,2020,COL
2021,COL,5521,1477,319,43,202,500,1229,0.268,0.451,5236,1258,247,22,176,530,1396,0.24,0.397,2021,COL
2022,COL,5726,1619,345,48,200,496,1181,0.283,0.465,5383,1305,261,32,133,496,1336,0.242,0.377,2022,COL
2023,COL,5709,1632,346,53,208,535,1309,0.286,0.474,5352,1335,268,25,189,498,1363,0.249,0.415,2023,COL
2024,COL,5511,1542,292,40,199,520,1284,0.28,0.456,5569,1381,275,23,201,496,1451,0.248,0.414,2024,COL
